name,date_utc,success,rocket,launchpad,flight_number
Hotbird 13G,2022-11-03T03:24:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,189
Galaxy 31 (23R) & 32 (17R),2022-11-08T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,191
Eutelsat 10B,2022-11-15T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,192
ispace Mission 1 & Rashid,2022-11-22T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,193
CRS-26,2022-11-18T22:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,194
Starlink 4-37 (v1.5),2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,195
"O3b mPower 1,2",2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,196
SWOT,2022-12-05T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,197
SES-18 & SES-19,2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,198
Transporter-6,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,198
TTL-1,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,199
WorldView Legion 1 & 2,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,200
Viasat-3 & Arcturus,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,202
O3b mPower 3.4,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,203
